month_date,month,monthly_revenue,mom_growth_pct
2016-10-01,2016-10,46566.71,
2016-12-01,2016-12,19.62,-99.96
2017-01-01,2017-01,127545.67,649979.87
2017-02-01,2017-02,271298.65,112.71
2017-03-01,2017-03,414369.39,52.74
2017-04-01,2017-04,390952.18,-5.65
2017-05-01,2017-05,567066.73,45.05
2017-06-01,2017-06,490225.6,-13.55
2017-07-01,2017-07,566403.93,15.54
2017-08-01,2017-08,646000.61,14.05
2017-09-01,2017-09,701169.99,8.54
2017-10-01,2017-10,751140.27,7.13
2017-11-01,2017-11,1153528.05,53.57
2017-12-01,2017-12,843199.17,-26.9
2018-01-01,2018-01,1078606.86,27.92
2018-02-01,2018-02,966510.88,-10.39
2018-03-01,2018-03,1120678,15.95
2018-04-01,2018-04,1132933.95,1.09
2018-05-01,2018-05,1128836.69,-0.36
2018-06-01,2018-06,1012090.68,-10.34
2018-07-01,2018-07,1027903.86,1.56
2018-08-01,2018-08,985414.28,-4.13