state,total_revenue,total_orders,avg_revenue_per_order
SP,5770266.19,40500,142.48
RJ,2055690.45,12350,166.45
MG,1819277.61,11354,160.23
RS,861802.4,5345,161.24
PR,781919.55,4923,158.83
SC,595208.4,3546,167.85
BA,591270.6,3256,181.59
DF,346146.17,2080,166.42
GO,334294.22,1957,170.82
ES,317682.65,1995,159.24
PE,309074.59,1593,194.02
CE,266463.97,1279,208.34
PA,212027.55,946,224.13
MT,181441.72,886,204.79
MA,147807.29,717,206.15
PB,137834.65,517,266.6
MS,134421.54,701,191.76
PI,105272.17,476,221.16
RN,100728.3,474,212.51
AL,94195.79,397,237.27
SE,70289.13,335,209.82
TO,60007.37,274,219.01
RO,56975.7,243,234.47
AM,27596.18,145,190.32
AC,19586.25,80,244.83
AP,16141.81,67,240.92
RR,9039.52,41,220.48