category,avg_review_score,orders_with_reviews,order_category_pairs
books_general_interest,4.53,492,492
food_drink,4.45,221,223
books_imported,4.44,50,50
books_technical,4.43,255,257
costruction_tools_tools,4.43,94,94
small_appliances_home_oven_and_coffee,4.43,72,72
luggage_accessories,4.37,1015,1015
cine_photo,4.34,63,64
food,4.33,437,437
stationery,4.29,2251,2258
pet_shop,4.27,1680,1682
fashion_shoes,4.27,231,234
perfumery,4.26,3076,3090
small_appliances,4.26,604,608
costruction_tools_garden,4.26,190,192
furniture_bedroom,4.26,90,90
toys,4.24,3774,3782
fashion_bags_accessories,4.24,1811,1827
musical_instruments,4.24,605,606
drinks,4.24,287,288
health_beauty,4.23,8601,8654
sports_leisure,4.23,7486,7537
industry_commerce_and_business,4.23,230,231
cool_stuff,4.22,3531,3540
home_appliances,4.22,744,782
computers,4.22,174,174
music,4.21,38,38
dvds_blu_ray,4.2,56,56
housewares,4.19,5709,5730
garden_tools,4.18,3428,3438
consoles_games,4.18,1009,1010
tablets_printing_image,4.16,77,77
auto,4.15,3792,3808
construction_tools_lights,4.15,239,240
home_appliances_2,4.15,226,228
construction_tools_construction,4.13,731,732
kitchen_dining_laundry_garden_furniture,4.13,239,239
watches_gifts,4.12,5454,5464
electronics,4.12,2498,2499
air_conditioning,4.12,242,242
signaling_and_security,4.12,137,137
agro_industry_and_commerce,4.11,177,177
christmas_supplies,4.11,123,123
baby,4.1,2787,2795
art,4.1,193,193
market_place,4.09,272,272
computers_accessories,4.08,6499,6549
party_supplies,4.08,38,38
furniture_living_room,4.07,409,412
furniture_decor,4.05,6260,6317
telephony,4.05,4069,4073
fashion_underwear_beach,4.01,116,116
bed_bath_table,4,9177,9295
home_construction,3.99,481,482
fixed_telephony,3.97,209,210
construction_tools_safety,3.97,158,158
fashio_female_clothing,3.95,36,37
furniture_mattress_and_upholstery,3.89,37,37
home_confort,3.88,390,393
audio,3.83,345,346
fashion_male_clothing,3.82,105,105
office_furniture,3.64,1244,1249